ID,ScaleX,ScaleY,ScaleZ,RotX,RotY,Rotz,PosX,PosY,PosZ,
Wall,0.5,10,8.7,0,225.67,0,-18.14,5.1,19.13,WallCake_Tx
UpperWall,0.5,7.07,3.7,0,0,0,21.18,6.57,-13.73,WallCake_Tx
UpperWall,0.5,7,3,0,0,0,21.18,6.6,-2.38,WallCake_Tx
UpperWall,0.5,7,2.5,0,135,0,20.37,6.6,13.83,WallCake_Tx
UpperWall,0.5,7,2,0,270,0,5.3,6.6,22.1,WallCake_Tx
UpperWall,0.5,7,5,0,270,0,-5.7,6.6,22.1,WallCake_Tx
UpperWall,0.5,7.07,5,0,270,0,-8.28,6.56,-22.82,WallCake_Tx
UpperWall,0.5,7,5,0,270,0,-3.28,6.6,-22.82,WallCake_Tx
UpperWall,0.5,7.07,3.9,0,68,0,11.12,6.56,-22,WallCake_Tx
UpperWall,0.5,7,3.5,0,0,0,-21.17,6.6,1.52,WallCake_Tx
UpperWall,0.5,7,3.5,0,0,0,-21.22,6.6,-6.7,WallCake_Tx
UpperWall,0.5,7,2,0,90,0,-15.46,6.29,-3.09,WallCake_Tx
UpperWall,0.5,7,2,0,0,0,-4.21,6.2,-7.84,WallCake_Tx
UpperWall,0.5,7,2,0,90,0,-3.79,6.2,18.45,WallCake_Tx
UpperWall,0.5,7,4,0,90,0,-10.4,6.2,0,WallCake_Tx
UpperWall,0.5,7,4.5,0,90,0,11.25,6.2,0,WallCake_Tx
UpperWall,0.5,8,5,0,225,0,-13.152,5.7,14.99,WallCake_Tx
Corner,15,0.1,20,90,225,0,24.7,10,24.99,WallCake_Tx
Corner,15,0.1,20,90,135,0,-24.6,10,25.39,WallCake_Tx
Corner,15,0.1,20,90,315,0,24.6,10,-25.1,WallCake_Tx
Corner,15,0.1,20,90,45,0,-24.6,10,-25.1,WallCake_Tx
InnerCorner,0.5,10,10.5,0,225,0,13.79,4.7,-14.717,WallCake_Tx
InnerCorner,0.5,10,2.5,0,225,0,-10.5,4.7,17.64,WallCake_Tx
InnerCorner,0.5,10,10.5,0,134.65,0,13.77,4.7,14.83,WallCake_Tx
InnerCorner,0.5,10,10.5,0,134.65,0,-13.3,4.7,-14.74,WallCake_Tx
InnerCorner,0.5,10,8,0,134.65,0,-18.65,5.1,-20.13,WallCake_Tx
InnerCorner,0.5,10,3,0,225,0,-15.98,4.7,12.16,WallCake_Tx
RoomCorner,0.5,10,8,0,225,0,11.86,4.7,-12.59,WallCake_Tx
RoomCorner,0.5,10,4,0,225,0,8.63,4.67,-8,WallCake_Tx
RoomCorner,0.5,10,2,0,225,0,5.09,4.7,-11.56,WallCake_Tx
RoomCorner,0.5,7,2,0,225,0,6.51,6.2,-10.15,WallCake_Tx
RoomCorner,0.5,10,6,0,225,0,1.76,4.7,-6.63,WallCake_Tx
RoomCorner,0.5,10,5,0,136,0,3.34,4.7,-3.55,WallCake_Tx
RoomCorner,0.5,10,5,0,136,0,-1.26,4.7,-8.15,WallCake_Tx
Pillar,2,10,2,0,0,0,12.42,5,-4.1,WallCake_Tx
Pillar,2,10,2,0,0,0,6.47,4.97,-2.63,WallCake_Tx
Pillar,2,10,2,0,0,0,1.36,4.97,-12.73,WallCake_Tx
Pillar,2,10,2,0,0,0,-1.87,4.97,-15.42,WallCake_Tx
CandyDoor,0.5,10,3,0,228.7,0,22.62,5.11,13.3,WallCake_Tx
CandyDoor,0.5,10,3,0,90,0,-28.62,5.1,-17.34,WallCake_Tx
